index;macroprestazione;testo;cod_valoremedio_liquidazione;testo_pulito
15259;Educazione Sanitaria;Educazione sanitaria;122R;educazione sanitaria
15261;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;007T;gestione cvc
15264;procedure clinico assistenziali;Gestione cateterismo urinario;065T;gestione cateterismo urinario
15269;procedure clinico assistenziali;Gestione catetere vescicale;065T;gestione catetere vescicale
15274;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
15275;procedure clinico assistenziali;Posizionamento catetere vescicale;065T;posizionamento catetere vescicale
15278;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;posizionamento ago cannula sotto cute ed endovenoso;020T;posizionamento ago cannula sotto cute ed endovenoso
15280;Medicazioni Avanzate;medicazione complessa;032T;medicazione complessa
15284;procedure clinico assistenziali;Gestione catetere;065T;gestione catetere
15286;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
15287;procedure clinico assistenziali;Gestione cateterismo vescicale;065T;gestione cateterismo vescicale
15290;procedure clinico assistenziali;Gestione peg;055T;gestione peg
15292;procedure clinico assistenziali;gestione catetere vescicale;065T;gestione catetere vescicale
15295;Monitoraggi e Misurazioni;Monitoraggio parametri autorilevati;004T;monitoraggio parametri autorilevati
15299;Educazione Sanitaria;Educazione terapeutica;122R;educazione terapeutica
15309;Monitoraggi e Misurazioni;monitoraggio parametri;004T;monitoraggio parametri
15312;Monitoraggi e Misurazioni;rilevazione parametri vitali;004T;rilevazione parametri vitali
15314;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
15315;procedure clinico assistenziali;cateterismo vescicale;065T;cateterismo vescicale
15316;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematico;033T;prelievo ematico
15320;Monitoraggi e Misurazioni;MONITORAGGIO PARAMETRI;004T;monitoraggio parametri
15323;Educazione Sanitaria;Educazione sanitaria;122R;educazione sanitaria
15325;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
15329;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia ev;016T;terapia ev
15331;procedure clinico assistenziali;bendaggi;023T;bendaggi
15332;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
15333;Monitoraggi e Misurazioni;monitoraggio parametri vitali;004T;monitoraggio parametri vitali
15337;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;idratazione ev;016T;idratazione ev
15350;procedure clinico assistenziali;Somministrazione terapia sc-ev-im;016T;somministrazione terapia scevim
15366;procedure clinico assistenziali;Sostituzione cateteri vescicali;065T;sostituzione cateteri vescicali
15370;procedure clinico assistenziali;Gestione catetere vescicale;065T;gestione catetere vescicale
15381;Educazione Sanitaria;educazione sanitaria;122R;educazione sanitaria
15399;Medicazioni Avanzate;MEDICAZIONI SEMPLICI E GESTIONE DELLE COMPLICANZE ASSISTENZIALI;031T;medicazioni semplici e gestione delle complicanze assistenziali
15408;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
15413;Educazione Sanitaria;Colloquio;169R;colloquio
15417;Educazione Sanitaria;Colloquio;169R;colloquio
15418;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
15430;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
15432;procedure clinico assistenziali;cateterismi urinari;065T;cateterismi urinari
15433;procedure clinico assistenziali;cateterismo vescicale;065T;cateterismo vescicale
15435;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;posizionamento catetere vescicale;065T;posizionamento catetere vescicale
15436;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;INFUSIONI;016T;infusioni
15438;procedure clinico assistenziali;gestione peg e ne;055T;gestione peg e ne
15440;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
15441;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;infusioni venose;016T;infusioni venose
15443;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;FLEBOCLISI;016T;fleboclisi
15444;Medicazioni Avanzate;MEDICAZIONE COMPLESSA;032T;medicazione complessa
15449;Medicazioni Avanzate;Medicazioni complesse (oncologiche o decubiti);032T;medicazioni complesse oncologiche o decubiti
15450;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cateteri venosi centrali e periferici;007T;gestione cateteri venosi centrali e periferici
15452;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
15453;procedure clinico assistenziali;gestione catetere vescicale;065T;gestione catetere vescicale
15454;Medicazioni Avanzate;MEDICAZIONI SEMPLICI E COMPLESSE;032T;medicazioni semplici e complesse
15457;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev/sc;016T;terapia evsc
15458;procedure clinico assistenziali;Gestione di catetere vescicale o altri presidi;065T;gestione di catetere vescicale o altri presidi
15460;Monitoraggi e Misurazioni;Parametri vitali;004T;parametri vitali
15461;procedure clinico assistenziali;Cambio catetere vescicale;065T;cambio catetere vescicale
15469;Monitoraggi e Misurazioni;Parametri vitali;004T;parametri vitali
15470;Monitoraggi e Misurazioni;Parametri vitali;004T;parametri vitali
15472;procedure clinico assistenziali;sostituzioni cateteri vescicali;065T;sostituzioni cateteri vescicali
15474;procedure clinico assistenziali;Idratazione;016T;idratazione
15475;Medicazione semplice;MEDICAZIONE SEMPLICE E AVANZATA;031T;medicazione semplice e avanzata
15476;Monitoraggi e Misurazioni;Parametri vitali;004T;parametri vitali
15478;procedure clinico assistenziali;Posizionamento e gestione catetere vescicale;065T;posizionamento e gestione catetere vescicale
15483;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Posizionamento e gestione accessi venosi;020T;posizionamento e gestione accessi venosi
15484;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione linee infusive;016T;gestione linee infusive
15485;Monitoraggi e Misurazioni;Gestione monitoraggio PDTA;004T;gestione monitoraggio pdta
15494;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Posizionamento e gestione accessi venosi;020T;posizionamento e gestione accessi venosi
15496;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi centrali;007T;gestione accessi venosi centrali
15497;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione venosi centrali;007T;gestione venosi centrali
15499;procedure clinico assistenziali;Posizionamento e gestione catetere vescicale;065T;posizionamento e gestione catetere vescicale
15506;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;GESTIONE ACCESSI VENOSI CENTRALI e PERIFERICI;007T;gestione accessi venosi centrali e periferici
15509;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi;020T;gestione accessi venosi
15510;procedure clinico assistenziali;posizionamento e gestione caterere vescicale;065T;posizionamento e gestione caterere vescicale
15511;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione linee infusive;016T;gestione linee infusive
15512;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione linee infusive;016T;gestione linee infusive
15513;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi centrali;007T;gestione accessi venosi centrali
15515;procedure clinico assistenziali;Posiz e gestione cat vescicale;065T;posiz e gestione cat vescicale
15516;procedure clinico assistenziali;Gestione linee infusione;016T;gestione linee infusione
15519;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi centrali;007T;gestione accessi venosi centrali
15523;procedure clinico assistenziali;gestione peg;055T;gestione peg
15524;procedure clinico assistenziali;Gestione catetere vescicale;065T;gestione catetere vescicale
15526;procedure clinico assistenziali;Gestione cateteri vescicali;065T;gestione cateteri vescicali
15527;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;infusione endovenosa con gestione device;016T;infusione endovenosa con gestione device
15530;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;cvc;007T;cvc
15534;procedure clinico assistenziali;Cateteri vescicali;065T;cateteri vescicali
15540;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusiva;016T;terapia infusiva
15542;procedure clinico assistenziali;gestione peg;055T;gestione peg
15544;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematico;033T;prelievo ematico
15545;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione CVC;007T;gestione cvc
15547;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusione terapia endovenosa periferica;016T;infusione terapia endovenosa periferica
15549;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;016T;terapia endovenosa
15551;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia ev;016T;terapia ev
15553;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia endovenosa;016T;terapia endovenosa
15556;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
15557;procedure clinico assistenziali;Cv;065T;cv
15558;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboterapia;016T;fleboterapia
15559;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematico;033T;prelievo ematico
15564;procedure clinico assistenziali;Gestione peg;055T;gestione peg
15570;Medicazione semplice;Medicazione catetere venoso centrale;007T;medicazione catetere venoso centrale
15571;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
15574;procedure clinico assistenziali;cateterismo vescicale;065T;cateterismo vescicale
15578;Educazione Sanitaria;educazione sanitaria;122R;educazione sanitaria
15579;Educazione Sanitaria;educazione sanitaria;122R;educazione sanitaria
15581;Educazione Sanitaria;EDUCAZIONE SANITARIA;122R;educazione sanitaria
15582;Educazione Sanitaria;educazione sanitaria;122R;educazione sanitaria
15584;procedure clinico assistenziali;gestione catetere vescicale;065T;gestione catetere vescicale
15585;procedure clinico assistenziali;sostituzione catetere vescicale;065T;sostituzione catetere vescicale
15586;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapie infusive;016T;terapie infusive
15589;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione CVC a lungo termine;007T;gestione cvc a lungo termine
15590;procedure clinico assistenziali;gestione catetere vescicale;065T;gestione catetere vescicale
15591;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
15592;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;POSIZIONAMENTO CATETERE VESCICALE;065T;posizionamento catetere vescicale
15593;Educazione Sanitaria;Educazione sanitaria;122R;educazione sanitaria
15594;procedure clinico assistenziali;cambio catetere vescicale;065T;cambio catetere vescicale
15595;procedure clinico assistenziali;cambio catetere vescicale;065T;cambio catetere vescicale
15596;procedure clinico assistenziali;cambio catetere vescicale;065T;cambio catetere vescicale
15599;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematico;033T;prelievo ematico
15604;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;infusioni;016T;infusioni
15606;procedure clinico assistenziali;gestione catetere vescicale;065T;gestione catetere vescicale
15607;procedure clinico assistenziali;Cambi cateteri vescicali;065T;cambi cateteri vescicali
15610;procedure clinico assistenziali;Gestione peg;055T;gestione peg
15613;Educazione Sanitaria;educazione sanitaria;122R;educazione sanitaria
15614;procedure clinico assistenziali;cateteri vescicali;065T;cateteri vescicali
15615;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;medicazione accessi venosi centrale;007T;medicazione accessi venosi centrale
15620;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;TERAPIA INFUSIVA ENDOVENA;016T;terapia infusiva endovena
15623;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;infusioni e.v.;016T;infusioni ev
15626;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematochimico;033T;prelievo ematochimico
15629;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia endovena;016T;terapia endovena
15631;Medicazione semplice;Bendaggi elastocompressivi;023T;bendaggi elastocompressivi
15632;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;medicazione/lavaggio accessi venosi centrali;007T;medicazionelavaggio accessi venosi centrali
15634;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;033T;prelievi ematici
15635;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusiva;016T;terapia infusiva
15641;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione terapia infusiva;016T;gestione terapia infusiva
15643;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusiva;016T;terapia infusiva
15644;procedure clinico assistenziali;Gestione catetere vescicale;065T;gestione catetere vescicale
15646;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusiva;016T;terapia infusiva
15647;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie infusive endovenose e npt;016T;terapie infusive endovenose e npt
15650;Educazione Sanitaria;ed sanitaria;122R;ed sanitaria
15651;Educazione Sanitaria;EDUCAZIONE SANITARIA;122R;educazione sanitaria
15653;Educazione Sanitaria;ed. sanitaria;122R;ed sanitaria
15654;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusiva;016T;terapia infusiva
15658;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusiva;016T;terapia infusiva
15659;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusiva;016T;terapia infusiva
15660;procedure clinico assistenziali;TERAPIA  INFUSIVA;016T;terapia  infusiva
15661;procedure clinico assistenziali;posizionamento cvp e gestione infusione;020T;posizionamento cvp e gestione infusione
15662;procedure clinico assistenziali;gestione e sostituzione peg;055T;gestione e sostituzione peg
15663;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;infusione terapia ev;016T;infusione terapia ev
15664;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia endovenosa;016T;terapia endovenosa
15665;procedure clinico assistenziali;gestione cateteri vescicali;065T;gestione cateteri vescicali
15666;procedure clinico assistenziali;gestione cateteri vescicali;065T;gestione cateteri vescicali
15667;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusiva;016T;terapia infusiva
15669;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione accessi venosi;020T;gestione accessi venosi
15670;procedure clinico assistenziali;cateteri vescicali;065T;cateteri vescicali
15671;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione CV terapie infusive;016T;gestione cv terapie infusive
15674;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione terapia infusiva;016T;gestione terapia infusiva
15675;procedure clinico assistenziali;Gestione catetere vescicale;065T;gestione catetere vescicale
15683;Monitoraggi e Misurazioni;Parametri vitali;004T;parametri vitali
15684;procedure clinico assistenziali;Gestione catetere vescicale;065T;gestione catetere vescicale
15685;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione terapia infusiva;016T;gestione terapia infusiva
15687;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusioni venose o sottocutanea e gestione device ( cannule periferiche , cvc port, ghrosshong, midline, Picc.......;016T;infusioni venose o sottocutanea e gestione device  cannule periferiche  cvc port ghrosshong midline picc
15689;procedure clinico assistenziali;Peg;055T;peg
15690;procedure clinico assistenziali;Cateteri vescicali;065T;cateteri vescicali
15693;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Garantire terapia venosa/sottocutanea;016T;garantire terapia venosasottocutanea
15696;procedure clinico assistenziali;GESTIONE CATETERI VESCICALI;065T;gestione cateteri vescicali
15698;procedure clinico assistenziali;Sostituzione catetere vescicale;065T;sostituzione catetere vescicale
15699;procedure clinico assistenziali;Posizionamento catetete vescicale;065T;posizionamento catetete vescicale
15700;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione terapie infusionali;016T;gestione terapie infusionali
15702;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016T;terapia infusionale
