index	macroprestazione	testo	testo_pulito	cod_valoremedio_liquidazione
24641	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione cvc	gestione cvc	007T
24642	procedure clinico assistenziali	Terapia sottocutanea	terapia sottocutanea	019T
24643	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	122R
24644	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione picc, cvc	gestione picc cvc	007T
24648	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Infusione endovenosa	infusione endovenosa	016T
24649	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Infusioni	infusioni	016T
24650	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Infusione endovenosa	infusione endovenosa	016T
24654	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Medicazioni cvc	medicazioni cvc	007T
24655	Monitoraggi e Misurazioni	Parametri vitali	parametri vitali	004T
24656	Monitoraggi e Misurazioni	Misurazione parametri vitali	misurazione parametri vitali	004T
24657	Medicazioni Avanzate	Medicazioni lesioni da decubito	medicazioni lesioni da decubito	032T
24658	procedure clinico assistenziali	Gestione peg	gestione peg	055T
24659	Educazione Sanitaria	Educazione cargiver	educazione cargiver	122R
24660	Educazione Sanitaria	Educazione care giver	educazione care giver	122R
24661	Monitoraggi e Misurazioni	Parametri vitali	parametri vitali	004T
24662	procedure clinico assistenziali	Sng	sng	055T
24665	Monitoraggi e Misurazioni	Rilevazione parametri vitali	rilevazione parametri vitali	004T
24666	Educazione Sanitaria	Addestramento care giver	addestramento care giver	122R
24667	Monitoraggi e Misurazioni	Rilevazione parametri vitali	rilevazione parametri vitali	004T
24668	Educazione Sanitaria	educazione	educazione	122R
24669	Educazione Sanitaria	Educazione	educazione	122R
24670	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	122R
24672	Medicazioni Avanzate	medicazioni	medicazioni	031T
24674	procedure clinico assistenziali	clisteri	clisteri	080T
24675	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	122R
24676	procedure clinico assistenziali	TEV	tev	016T
24677	Medicazione semplice	bendaggi ossido zinco	bendaggi ossido zinco	023T
24678	procedure clinico assistenziali	gestione stomie	gestione stomie	075T
24681	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapie e.v.	terapie ev	016T
24682	procedure clinico assistenziali	GESTIONE CATETERI VESCICALI	gestione cateteri vescicali	065T
24683	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi ematici	prelievi ematici	016T
24684	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	terapia infusionale	terapia infusionale	016T
24685	procedure clinico assistenziali	cateterismo vescicale	cateterismo vescicale	065T
24686	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	122R
24687	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	122R
24688	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione accessi venosi centrali e periferici	gestione accessi venosi centrali e periferici	016T
24694	Educazione Sanitaria	educazione insegnamento	educazione insegnamento	122R
24695	procedure clinico assistenziali	gestione peg	gestione peg	055T
24696	Educazione Sanitaria	insegnamento educazione	insegnamento educazione	122R
24697	Medicazioni Avanzate	medicazione ulcere venose/arteriose	medicazione ulcere venosearteriose	032T
24698	procedure clinico assistenziali	clistere	clistere	080T
24699	Educazione Sanitaria	Educazione sanitaria a famigliari e caregiver	educazione sanitaria a famigliari e caregiver	122R
24701	Medicazioni Avanzate	medicazioni stomie	medicazioni stomie	075T
24702	Educazione Sanitaria	educazione terapeutica	educazione terapeutica	122R
24704	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	terapia ev	terapia ev	016T
24706	procedure clinico assistenziali	CLISTERI EVACUATIVI	clisteri evacuativi	080T
24707	procedure clinico assistenziali	gestione PEG	gestione peg	055T
24708	procedure clinico assistenziali	gestione peg	gestione peg	055T
24709	Medicazioni Avanzate	Medicazioni	medicazioni	031T
24710	procedure clinico assistenziali	gestione PICC , PORTH , MIDE LINE, agocanula periferica	gestione picc  porth  mide line agocanula periferica	007T
24712	procedure clinico assistenziali	clistere	clistere	080T
24714	procedure clinico assistenziali	Gestione/medicazione accessi centrali e periferici	gestionemedicazione accessi centrali e periferici	007T
24715	Medicazione semplice	gestione stomie	gestione stomie	075T
24716	Medicazione semplice	medicazione ferita chirurgica	medicazione ferita chirurgica	031T
24718	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	fleboclisi	fleboclisi	016T
24719	Medicazioni Avanzate	Medicazione Nefrostomie	medicazione nefrostomie	032T
24722	Medicazioni Avanzate	medicazioni peg	medicazioni peg	055T
24723	Educazione Sanitaria	educazione/addestramento del caregiver	educazioneaddestramento del caregiver	122R
24724	Medicazioni Avanzate	medicazioni sempilci e complesse	medicazioni sempilci e complesse	032T
24728	Educazione Sanitaria	Educazione alla gestione della stomia	educazione alla gestione della stomia	075T
24729	Educazione Sanitaria	Addestramento e gestione tracheostomia	addestramento e gestione tracheostomia	045T
24734	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
24736	Medicazione semplice	Bendaggio arti inferiori	bendaggio arti inferiori	022R
24737	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	122R
24738	procedure clinico assistenziali	Peg	peg	055T
24739	Medicazioni Avanzate	Medicazioni drenaggi	medicazioni drenaggi	032T
24740	procedure clinico assistenziali	Gestione stomie	gestione stomie	075T
24742	procedure clinico assistenziali	Gestione stomie	gestione stomie	075T
24744	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Posizionamento c.v.c	posizionamento cvc	007T
24747	procedure clinico assistenziali	Gestione NPT	gestione npt	016T
24748	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
24749	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Medicazioni port a cath	medicazioni port a cath	007T
24750	Medicazione semplice	Bendaggio	bendaggio	023T
24752	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi venosi	prelievi venosi	016T
24753	procedure clinico assistenziali	Gestione e sostituzione PEG	gestione e sostituzione peg	055T
24757	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Somministrazione antibioticoterapia	somministrazione antibioticoterapia	019T
24760	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione flebo	gestione flebo	016T
24765	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	terapia infusionale	terapia infusionale	016T
24766	Medicazione semplice	medicazione accessi venosi centrali	medicazione accessi venosi centrali	007T
24768	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	122R
24769	procedure clinico assistenziali	Gestione stomia	gestione stomia	075T
24779	procedure clinico assistenziali	Mobilizzazione	mobilizzazione	091T
24781	procedure clinico assistenziali	Cure igieniche	cure igieniche	105T
24782	procedure clinico assistenziali	posizionamento/sostituzione catetere vescicale	posizionamentosostituzione catetere vescicale	065T
24783	procedure clinico assistenziali	Gestione colon stomia	gestione colon stomia	075T
24784	Medicazioni Avanzate	Medicazioni semplici e complesse	medicazioni semplici e complesse	032T
24785	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione pic	gestione pic	007T
24788	procedure clinico assistenziali	Terapia sottocutanea	terapia sottocutanea	019T
24793	Educazione Sanitaria	Educazione del caregiver	educazione del caregiver	122T
24794	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Posizionamento catetere venoso periferico	posizionamento catetere venoso periferico	029T
24797	procedure clinico assistenziali	Gestione peg	gestione peg	055T
24798	procedure clinico assistenziali	ipodermoclisi	ipodermoclisi	019T
24799	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	122T
24803	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	GESTIONE ACCESSI VASCOLARI	gestione accessi vascolari	016T
24804	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione cvc	gestione cvc	016T
24805	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	122R
24809	Medicazioni Avanzate	Medicazioni	medicazioni	031T
24810	procedure clinico assistenziali	Gestione stomie	gestione stomie	075T
24813	Medicazioni Avanzate	Medicazione	medicazione	031T
24814	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
24816	procedure clinico assistenziali	Gestione Peg	gestione peg	055T
24817	procedure clinico assistenziali	Nutrizione parenterale ed enterale	nutrizione parenterale ed enterale	016T
24818	Educazione Sanitaria	Educazione alla mobilizzazione	educazione alla mobilizzazione	091T
24819	procedure clinico assistenziali	gestione peg	gestione peg	055T
24820	procedure clinico assistenziali	gestrione peg	gestrione peg	055T
24821	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia endovenosa	terapia endovenosa	016T
24822	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia endovenosa	terapia endovenosa	016T
24824	procedure clinico assistenziali	Cateteri vescicale	cateteri vescicale	065T
24825	procedure clinico assistenziali	Gestione e introduzione catetere vescicali	gestione e introduzione catetere vescicali	065T
24826	Medicazioni Avanzate	Medicazioni	medicazioni	031T
24827	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	terapia infusiva endovenosa	terapia infusiva endovenosa	016T
24828	procedure clinico assistenziali	Clistere	clistere	080T
24829	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	posizionamento CVP	posizionamento cvp	029T
24830	procedure clinico assistenziali	Gestione peg	gestione peg	055T
24831	procedure clinico assistenziali	posizionamento cv	posizionamento cv	065T
24832	Medicazione semplice	Medicazione accesi venosi	medicazione accesi venosi	019T
24833	Medicazioni Avanzate	Medicazioni avanzate	medicazioni avanzate	031T
24834	procedure clinico assistenziali	Gestione catetere vescicale	gestione catetere vescicale	065T
24836	procedure clinico assistenziali	Gestione catetere vescicale	gestione catetere vescicale	065T
24840	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
24843	procedure clinico assistenziali	Clistere	clistere	080T
24844	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
24845	Medicazione semplice	Medicazione picc/midline	medicazione piccmidline	032T
24846	procedure clinico assistenziali	Gestione e medicazione Peg	gestione e medicazione peg	055T
24848	procedure clinico assistenziali	Sostituzione periodica catetere vescicale	sostituzione periodica catetere vescicale	065T
24850	procedure clinico assistenziali	Gestione peg/sng	gestione pegsng	055T
24852	procedure clinico assistenziali	Gestione sng	gestione sng	055T
24854	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione accessi venosi centrali	gestione accessi venosi centrali	007T
24856	procedure clinico assistenziali	Assistenza tracheostomia	assistenza tracheostomia	045T
24859	Medicazioni Avanzate	Medicazioni complesse	medicazioni complesse	032T
24860	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	TERAPIA EV	terapia ev	016T
24861	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	cvc	cvc	007T
24864	Monitoraggi e Misurazioni	Rilevamento parametri vitali	rilevamento parametri vitali	004T
24865	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo venoso	prelievo venoso	033T
24866	procedure clinico assistenziali	Gestione catetere vescicale	gestione catetere vescicale	065T
24867	procedure clinico assistenziali	Gestioni pej/peg	gestioni pejpeg	055T
24869	procedure clinico assistenziali	Terapia ipodermica	terapia ipodermica	019T
24873	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accessi vascolari	gestione accessi vascolari	016T
24874	Medicazione semplice	Medicazione stomie	medicazione stomie	032T
24877	procedure clinico assistenziali	Cambio e gestione Peg	cambio e gestione peg	055T
24886	Medicazione semplice	Medicazione tracheotomia	medicazione tracheotomia	045T
24887	Medicazione semplice	Medicazione PICC	medicazione picc	007T
24888	Medicazioni Avanzate	Medicazioni lesioni vascolari	medicazioni lesioni vascolari	032T
24889	procedure clinico assistenziali	Sostituzione SNG	sostituzione sng	055T
24890	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestioni CVC	gestioni cvc	007T
24892	procedure clinico assistenziali	terapia iniettiva sc	terapia iniettiva sc	019T
24893	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Somministrazione terapia endovenosa, flebo, sottocutanea	somministrazione terapia endovenosa flebo sottocutanea	019T
24895	procedure clinico assistenziali	GESTIONE TRACHEO	gestione tracheo	045T
24896	procedure clinico assistenziali	gestione peg	gestione peg	055T
24898	procedure clinico assistenziali	Gestione terapia endovenosa ed ago cannula periferico	gestione terapia endovenosa ed ago cannula periferico	029T
24902	Medicazioni Avanzate	medicazione lesioni da pressione/neoplastiche	medicazione lesioni da pressioneneoplastiche	032T
24908	Medicazione semplice	Bendaggi	bendaggi	023T
24914	procedure clinico assistenziali	Terapia sottocutanea	terapia sottocutanea	019T
24915	procedure clinico assistenziali	Clisteri	clisteri	080T
24917	procedure clinico assistenziali	Bendaggi	bendaggi	023T
24918	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
24919	procedure clinico assistenziali	Cateterismi vescicali	cateterismi vescicali	065T
24920	procedure clinico assistenziali	Gestione peg	gestione peg	055T
24921	procedure clinico assistenziali	Gestione sondino naso gastrico	gestione sondino naso gastrico	055T
24922	Medicazione semplice	Medicazioni pic	medicazioni pic	007T
24923	Monitoraggi e Misurazioni	Rilevazione parametri	rilevazione parametri	004T
24924	Medicazione semplice	Bendaggio elastocompressivo arti inferiori	bendaggio elastocompressivo arti inferiori	022T
24925	procedure clinico assistenziali	Gestione stomie	gestione stomie	075T
24926	Monitoraggi e Misurazioni	Rilevazione parametri vitali	rilevazione parametri vitali	004T
24928	Medicazione semplice	Bendaggi arti inferiori	bendaggi arti inferiori	023T
24930	procedure clinico assistenziali	Sostegno caregiver	sostegno caregiver	122R
24933	procedure clinico assistenziali	Gestione catetere vescicale	gestione catetere vescicale	065T
24934	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione cateterino venoso centrale	gestione cateterino venoso centrale	007T
24935	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Posizionamento accesso venoso	posizionamento accesso venoso	016T
24936	Educazione Sanitaria	Educazione care giver	educazione care giver	122R
24937	procedure clinico assistenziali	Ecg	ecg	029T
24939	Educazione Sanitaria	Educazione istruzione care giver	educazione istruzione care giver	122R
24940	procedure clinico assistenziali	Cateterismo vescicali	cateterismo vescicali	065T
