Macroprestazione;Note infermieristiche;Prestazione da nomenclatore;;;
Educazione Sanitaria;Educazione sanitaria;122r;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
PAI, pianificazione, valutazione;Attivazione servizi territoriali;;;;
PAI, pianificazione, valutazione;Attivazione servizi;;;;
PAI, pianificazione, valutazione;orientamento;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia ev;016t;;;
;;;;;
procedure clinico assistenziali;bendaggi;023t;;;
procedure clinico assistenziali;Cateterismo vescicale;065t;;;
Monitoraggi e Misurazioni;monitoraggio parametri vitali;004t;;;
;;;;;
Monitoraggi e Misurazioni;aderenza terepeutica;;;;
PAI, pianificazione, valutazione;VISITA CONGIUNTA CON IL MMG;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;idratazione ev;016t;;;
;;;;;
;;;;;
procedure clinico assistenziali;Vaccinazioni;;;;
;;;;;
procedure clinico assistenziali;vaccinazione anticovid/antinfluenzale;;;;
;;;;;
Monitoraggi e Misurazioni;Valutazione domiciliare per accesso misura B1;;;;
;;;;;
;;;;;
;;;;;
Medicazione semplice;MEDICAZIONE;;;;
;;;;;
procedure clinico assistenziali;Somministrazione terapia sc-ev-im;016t;;;
procedure clinico assistenziali;VACCINAZIONI;;;;
procedure clinico assistenziali;Tamponi;;;;
Medicazione semplice;Medicazioni ferite;;;;
procedure clinico assistenziali;insulina a scuola;;;;
procedure clinico assistenziali;Tamponi;;;;
procedure clinico assistenziali;Dialisi peritoneale;;;;
;;;;;
;;;;;
Medicazioni Avanzate;medicazioni;;;;
;;;;;
Medicazioni Avanzate;medicazioni;;;;
procedure clinico assistenziali;DIALISI PERITONEALE;;;;
procedure clinico assistenziali;somministrazione insulina a scuola;;;;
procedure clinico assistenziali;Lavaggi catetere peritoneale post posizionamento;;;;
Medicazioni Avanzate;Medicazione ldd;;;;
procedure clinico assistenziali;Sostituzione cateteri vescicali;065t;;;
Medicazioni Avanzate;Medicazioni lesioni neoplastiche;;;;
Medicazioni Avanzate;Medicazioni lesioni vascolari;;;;
procedure clinico assistenziali;Gestione  alvo;;;;
procedure clinico assistenziali;Gestione catetere vescicale;065t;;;
procedure clinico assistenziali;Gestione alvo;;;;
procedure clinico assistenziali;Gestione drenaggi;;;;
Educazione Sanitaria;realizzazione di una relazione efficace;;;;
procedure clinico assistenziali;GESTIONE DELLE COMPLICANZE ASSISTENZIALI;;;;
Educazione Sanitaria;INDIVIDUAZIONE,ADDESTRAMENTO E SUPPORTO AL CAREGIVER;;;;
Educazione Sanitaria;supporto al caregiver;;;;
PAI, pianificazione, valutazione;pianificazione assistenziale e relativa documentazione;;;;
Educazione Sanitaria;realizzazione di una relazione efficace;;;;
Educazione Sanitaria;realizzazione di una relazione terapeutica;;;;
Educazione Sanitaria;individuazione ,  addestramento  supporto del caregiver;;;;
Educazione Sanitaria;educazione sanitaria;122r;;;
Educazione Sanitaria;realizzazione di una comunicazioe e relazione efficace con paziente e famigliari;;;;
Educazione Sanitaria;realizzazione di una comunicazione efficace;;;;
Educazione Sanitaria;Addestramento presidi;;;;
Educazione Sanitaria;addestramento all'utilizzo dei presidi sanitari;;;;
Educazione Sanitaria;addestramento all'utilizzo di presidi sanitari;;;;
Educazione Sanitaria;Addestramento all'utilizzo di presidi sanitari;;;;
Educazione Sanitaria;addes. all'utilizzo presidi san.;;;;
Educazione Sanitaria;addestramento all'utilizzo dei presidi sanitari;;;;
Educazione Sanitaria;addestramento ai presidi sanitari;;;;
Educazione Sanitaria;addestramento all'utilizzo dei presidi sanitari;;;;
Educazione Sanitaria;addestramento all'uso di presidi sanitari;;;;
Educazione Sanitaria;addestramento all uso dei presidi sanitari;;;;
Educazione Sanitaria;Supporto al Caregiver;;;;
Monitoraggi e Misurazioni;verifica aderenza terapeutica;;;;
Educazione Sanitaria;addestramento ai presidi sanitari;;;;
Educazione Sanitaria;addestramento all'utilizzo dei presidi sanitari;;;;
Educazione Sanitaria;addestramento all'utilizzo dei presidi sanitari;;;;
Medicazioni Avanzate;MEDICAZIONI SEMPLICI E GESTIONE DELLE COMPLICANZE ASSISTENZIALI;031t;;;
Educazione Sanitaria;addestramento utilizzo presidi;;;;
Educazione Sanitaria;supporto al follow up;;;;
Educazione Sanitaria;SUPPORTO AL CAREGIVER;;;;
Educazione Sanitaria;addestramento all'utilizzo dei presidi sanitari;;;;
Educazione Sanitaria;ADDESTRAMENTO ALL'UTILIZZO DEI PRESIDI SANITARI;;;;
Educazione Sanitaria;ADDESTRAMENTO ALL'UTILIZZO DEI PRESIDI SANITARI;;;;
Educazione Sanitaria;supporto al caregiver;;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Educazione Sanitaria;Colloquio con care governi se presente;;;;
procedure clinico assistenziali;Tc;;;;
Monitoraggi e Misurazioni;osservazione;;;;
;;;;;
Educazione Sanitaria;Colloquio;169r;;;
;;;;;
Medicazioni Avanzate;Medicazioni;;;;
;;;;;
Educazione Sanitaria;Colloquio;169r;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
procedure clinico assistenziali;Rilevazione glicemia capillate;;;;
;;;;;
PAI, pianificazione, valutazione;aiuto ad attivare i servizi territoriali;;;;
;;;;;
procedure clinico assistenziali;Gestione nutrizione entrarle;;;;
PAI, pianificazione, valutazione;calendarizzazione visite programmate;;;;
Monitoraggi e Misurazioni;Adr;;;;
Medicazioni Avanzate;medicazioni;;;;
Monitoraggi e Misurazioni;monitoraggio Scale di valutazione;;;;
Educazione Sanitaria;educazione all'alimentazione;;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033t;;;
procedure clinico assistenziali;gestione tracheostomia;;;;
procedure clinico assistenziali;cateterismi urinari;065t;;;
procedure clinico assistenziali;cateterismo vescicale;065t;;;
procedure clinico assistenziali;gestione stomie etc;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;posizionamento catetere vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;INFUSIONI;016t;;;
;;;;;
procedure clinico assistenziali;gestione peg e ne;055t;;;
procedure clinico assistenziali;clisma evacuativi;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;infusioni venose;016t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;FLEBOCLISI;016t;;;
Medicazioni Avanzate;MEDICAZIONE COMPLESSA;032t;;;
;...;;;;
;;;;;
;;;;;
Educazione Sanitaria;Educazione del care giver;;;;
Medicazioni Avanzate;Medicazioni complesse (oncologiche o decubiti);032t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cateteri venosi centrali e periferici;007t;;;
procedure clinico assistenziali;Gestione npt;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033t;;;
procedure clinico assistenziali;gestione catetere vescicale;065t;;;
Medicazioni Avanzate;MEDICAZIONI SEMPLICI E COMPLESSE;032t;;;
Cure Palliative;Gestione dolore;;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev/sc;016t;;;
procedure clinico assistenziali;Gestione di catetere vescicale o altri presidi;065t;;;
Educazione Sanitaria;Educazione in tutte le varie procedure (gestione cv a domicilio, medicazioni, monitoraggio pv etc…);;;;
Monitoraggi e Misurazioni;Parametri vitali;004t;;;
procedure clinico assistenziali;Cambio catetere vescicale;065t;;;
Educazione Sanitaria;Educazione/rilevazione parametri;;;;
Educazione Sanitaria;Parte preventiva;;;;
procedure clinico assistenziali;Gestione Digiunostomia;;;;
;;;;;
Medicazioni Avanzate;Medicazioni;;;;
Medicazioni Avanzate;Medicazione ulcere da decubito;;;;
procedure clinico assistenziali;Terapie in e , nutrizione;;;;
Monitoraggi e Misurazioni;Parametri vitali;004t;;;
Monitoraggi e Misurazioni;Parametri vitali;004t;;;
Educazione Sanitaria;procedure di prevenxione;;;;
procedure clinico assistenziali;sostituzioni cateteri vescicali;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Elastomero;;;;
procedure clinico assistenziali;Idratazione;016t;;;
Medicazione semplice;MEDICAZIONE SEMPLICE E AVANZATA;031t;;;
Monitoraggi e Misurazioni;Parametri vitali;004t;;;
Medicazioni Avanzate;Gestione delle lesioni trofiche;;;;
procedure clinico assistenziali;Posizionamento e gestione catetere vescicale;065t;;;
Monitoraggi e Misurazioni;Teleassistenza;;;;
procedure clinico assistenziali;Prevenzione delle cadute;;;;
Cure Palliative;Gestione dolore;;;;
Monitoraggi e Misurazioni;gestione monitoraggio PDTA;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Posizionamento e gestione accessi venosi;020t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione linee infusive;016t;;;
Monitoraggi e Misurazioni;Gestione monitoraggio PDTA;004t;;;
Cure Palliative;Gestione dolore;;;;
Educazione Sanitaria;Gestione prevenzioni cadute;;;;
procedure clinico assistenziali;Gestione nutrizione enterale e parenterale;;;;
Cure Palliative;Accompagnamento paziente oncologico e non;;;;
Cure Palliative;Gesione dolore;;;;
Medicazioni Avanzate;Prevenzione e trattamento Lesioni da pressione;;;;
Monitoraggi e Misurazioni;Gestione monitoraggio pdta;;;;
Educazione Sanitaria;Educazione terapeutica in relazione ai bisogni Assistito/caregiver;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Posizionamento e gestione accessi venosi;020t;;;
Cure Palliative;Accompagnamento paziente oncologico e non;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi centrali;007t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione venosi centrali;007t;;;
PAI, pianificazione, valutazione;Gestione PDTA;;;;
procedure clinico assistenziali;Posizionamento e gestione catetere vescicale;065t;;;
Cure Palliative;Accompagnamento paziente oncologico e non;;;;
procedure clinico assistenziali;gestione stomie;;;;
procedure clinico assistenziali;Riconciliazione terapia farmacologica;;;;
procedure clinico assistenziali;Gestione NA entrate e parenterale;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi penosi centrali;;;;
procedure clinico assistenziali;Gestione del dolore;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;GESTIONE ACCESSI VENOSI CENTRALI e PERIFERICI;007t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione dolore posizionamento e gestione accessi venosi;;;;
Cure Palliative;Gestione dolore;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi;020t;;;
procedure clinico assistenziali;posizionamento e gestione caterere vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione linee infusive;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione linee infusive;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi centrali;007t;;;
Cure Palliative;Gestione dolore;;;;
procedure clinico assistenziali;Posiz e gestione cat vescicale;065t;;;
procedure clinico assistenziali;Gestione linee infusione;016t;;;
Monitoraggi e Misurazioni;Teleassistenza;;;;
PAI, pianificazione, valutazione;Valutazioni mono/ multi professionali;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi centrali;007t;;;
procedure clinico assistenziali;Gestione NA enterale e parenterale;;;;
Cure Palliative;Accompagnamento assistenza nella terminalita' oncologica e non;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Posizionamento e gestione accessi venosi;;;;
procedure clinico assistenziali;gestione peg;055t;;;
procedure clinico assistenziali;Gestione catetere vescicale;065t;;;
procedure clinico assistenziali;Ne;;;;
procedure clinico assistenziali;Gestione cateteri vescicali;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;infusione endovenosa con gestione device;016t;;;
procedure clinico assistenziali;Gestione Npt;;;;
procedure clinico assistenziali;Gestione tracheostomia;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;cvc;007t;;;
;2;;;;
Medicazione semplice;MEDICAZIONE FERITE CHIRURGICHE;;;;
procedure clinico assistenziali;Npt;;;;
procedure clinico assistenziali;Cateteri vescicali;065t;;;
Medicazioni Avanzate;medicazione lesioni da pressione;;;;
procedure clinico assistenziali;NPT;;;;
procedure clinico assistenziali;Gestione urostomie;;;;
procedure clinico assistenziali;gestione tracheostomia;;;;
procedure clinico assistenziali;gestione npt;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusiva;016t;;;
Medicazioni Avanzate;MEDICAZIONI;;;;
procedure clinico assistenziali;gestione peg;055t;;;
Medicazioni Avanzate;trattamenti di lesioni da decubito;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematico;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione CVC;007t;;;
procedure clinico assistenziali;Nutrizione enterale somministrazione;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusione terapia endovenosa periferica;016t;;;
procedure clinico assistenziali;Nutrizione enterale;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;016t;;;
Medicazioni Avanzate;Medicazioni ferite traumatiche;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia ev;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;GESTIONE CVC- PICC;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia endovenosa;016t;;;
procedure clinico assistenziali;terapia NPT/ N.E;;;;
procedure clinico assistenziali;gestione npt;;;;
procedure clinico assistenziali;Cateterismo vescicale;065t;;;
procedure clinico assistenziali;Cv;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboterapia;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematico;033t;;;
Educazione Sanitaria;educazione care-giver;;;;
procedure clinico assistenziali;gestione tracheostomia;;;;
procedure clinico assistenziali;terapia sottocutanea;;;;
Medicazione semplice;Medicazione ferita chirurgica;;;;
procedure clinico assistenziali;Gestione peg;055t;;;
procedure clinico assistenziali;Gestione digiunostomia;;;;
Medicazioni Avanzate;Medicazioni ulcere trofiche;;;;
Medicazione semplice;medicazioni picc;;;;
Medicazioni Avanzate;MEDICAZIONE LESIONI CUTANEE;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione/medicazione PICC;;;;
Medicazione semplice;Medicazione catetere venoso centrale;007t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033t;;;
procedure clinico assistenziali;nutrizioni enterali;;;;
Educazione Sanitaria;gestione/educazione ulcere trofiche;;;;
procedure clinico assistenziali;cateterismo vescicale;065t;;;
procedure clinico assistenziali;gestione stomie;;;;
procedure clinico assistenziali;npt;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;posizionamento NPT;;;;
Educazione Sanitaria;educazione sanitaria;122r;;;
Educazione Sanitaria;educazione sanitaria;122r;;;
procedure clinico assistenziali;Gestione del dolore;;;;
Educazione Sanitaria;EDUCAZIONE SANITARIA;122r;;;
Educazione Sanitaria;educazione sanitaria;122r;;;
;;;;;
procedure clinico assistenziali;gestione catetere vescicale;065t;;;
procedure clinico assistenziali;sostituzione catetere vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapie infusive;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;medicazione CVC, PICC, MEDLINE, PORT;;;;
procedure clinico assistenziali;gestione NPT;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione CVC a lungo termine;007t;;;
procedure clinico assistenziali;gestione catetere vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;POSIZIONAMENTO CATETERE VESCICALE;065t;;;
Educazione Sanitaria;Educazione sanitaria;122r;;;
procedure clinico assistenziali;cambio catetere vescicale;065t;;;
procedure clinico assistenziali;cambio catetere vescicale;065t;;;
procedure clinico assistenziali;cambio catetere vescicale;065t;;;
Medicazioni Avanzate;medicazioni ulcere trofiche;;;;
procedure clinico assistenziali;lavaggio vescicale;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematico;033t;;;
procedure clinico assistenziali;Idratazione per ipodermoclisi;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;fluidoterapia;;;;
procedure clinico assistenziali;terapia ipodermoclisi;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione pic - port;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;infusioni;016t;;;
procedure clinico assistenziali;gestione nutrizioni;;;;
procedure clinico assistenziali;gestione catetere vescicale;065t;;;
procedure clinico assistenziali;Cambi cateteri vescicali;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc: picc e Midline;;;;
procedure clinico assistenziali;Gestione npt;;;;
procedure clinico assistenziali;Gestione peg;055t;;;
procedure clinico assistenziali;Gestione drenaggi;;;;
procedure clinico assistenziali;terapia ipodermoclisi;;;;
Educazione Sanitaria;educazione sanitaria;122r;;;
procedure clinico assistenziali;cateteri vescicali;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;medicazione accessi venosi centrale;007t;;;
;;;;;
procedure clinico assistenziali;cateteri;;;;
procedure clinico assistenziali;Gestione npt;;;;
Monitoraggi e Misurazioni;monitoraggio dolore;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;TERAPIA INFUSIVA ENDOVENA;016t;;;
procedure clinico assistenziali;lavaggio vescicale;;;;
procedure clinico assistenziali;Nad;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;infusioni e.v.;016t;;;
Medicazioni Avanzate;visita medica;;;;
procedure clinico assistenziali;Ipodermoclisi;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematochimico;033t;;;
Educazione Sanitaria;Supporto alla famiglia;;;;
procedure clinico assistenziali;Terapie sottocutanea;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia endovena;016t;;;
procedure clinico assistenziali;Gestione nutrizione parenterale;;;;
Medicazione semplice;Bendaggi elastocompressivi;023t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;medicazione/lavaggio accessi venosi centrali;007t;;;
