index	macroprestazione	testo	testo_pulito	testo_corretto	cod_valoremedio_liquidazione	descr_cod_valoremedio_liquidazione
18052	Educazione Sanitaria	EDUCAZIONE AL PZ E/O CARE GIVER	educazione al pz e o care giver	educazione al paziente e o caregiver caregiver	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
18053	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestioni accessi venosi centrale	gestioni accessi venosi centrale	gestione accesso venoso centrale	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
18054	procedure clinico assistenziali	clisma evacuativo	clisma evacuativo	clisma evacuativo	080T	Preparazione ed effettuazione di clistere
18058	Educazione Sanitaria	ADDESTRAMENTO FAMILIARI E O BADANTI	addestramento familiari e o badanti	addestramento familiare e o badante	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
18069	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione picc	gestione picc	gestione peripherally inserted central catheter	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
18072	Medicazione semplice	Medicazione picc	medicazione picc	medicazione peripherally inserted central catheter	031T	Medicazione semplice
18075	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
18076	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
18077	procedure clinico assistenziali	GESTIONE DEL CATETERE VESCICALE	gestione del catetere vescicale	gestione del catetere vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
18079	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione Picc	gestione picc	gestione peripherally inserted central catheter	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
18083	procedure clinico assistenziali	Cateterismo Vescicale	cateterismo vescicale	cateterismo vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
18084	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Medicazione pic	medicazione pic	medicazione peripherally inserted central catheter	031T	Medicazione semplice
18085	procedure clinico assistenziali	gestione e sostituzione catetere vescicale	gestione e sostituzione catetere vescicale	gestione e sostituzione catetere vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
18086	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione PICC E PORT	gestione picc e port	gestione peripherally inserted central catheter e port-a-cath	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
18090	procedure clinico assistenziali	Catetere venoso periferco( posizionamento)	catetere venoso periferco  posizionamento 	catetere venoso periferico posizionamento	020T	Perfusione - incanulazione di una vena superficiale delle membra o picranica con ago o catetere venoso periferico
18091	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
18092	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Medicazione PICC	medicazione picc	medicazione peripherally inserted central catheter	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
18096	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione cvc	gestione cvc	gestione catetere venoso centrale	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
18100	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione CVC	gestione cvc	gestione catetere venoso centrale	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
18101	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione CVC	gestione cvc	gestione catetere venoso centrale	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
18103	Medicazioni Avanzate	Medicazioni semplice	medicazioni semplice	medicazione semplice	031T	Medicazione semplice
18104	procedure clinico assistenziali	Gestione catetere venoso centrale (Picc  e Port-a-Carth)	gestione catetere venoso centrale  picc  e port a carth 	gestione catetere venoso centrale peripherally inserted central catheter e port-a-cath a	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
18105	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
18112	Medicazione semplice	Esecuzione della medicazione	esecuzione della medicazione	esecuzione della medicazione	031T	Medicazione semplice
18113	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
18114	procedure clinico assistenziali	Gestione PEG	gestione peg	gestione gastrostomia endoscopica percutanea	055T	Preparazione e somministrazione di alimenti speciali attraverso sonda gastrica K> mediante pompa enterale (anche nel bambino).
18115	procedure clinico assistenziali	Gestione foley vescicali	gestione foley vescicali	gestione foley vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
18116	procedure clinico assistenziali	terapia infusionale in periferico	terapia infusionale in periferico	terapia infusionale in periferico	016T	Somministrazione dei medicinali prescritti per via parenterale
18117	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione CV	gestione cv	gestione catetere venoso	020T	Perfusione - incanulazione di una vena superficiale delle membra o picranica con ago o catetere venoso periferico
18119	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione cateterismo venoso	gestione cateterismo venoso	gestione cateterismo venoso	020T	Perfusione - incanulazione di una vena superficiale delle membra o picranica con ago o catetere venoso periferico
18121	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia infusionale	terapia infusionale	terapia infusionale	016T	Somministrazione dei medicinali prescritti per via parenterale
18125	Educazione Sanitaria	EDUCAZIONE TERAPEUTICA	educazione terapeutica	educazione terapeutica	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
18126	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	fleboterapia	fleboterapia	fleboterapia	016T	Somministrazione dei medicinali prescritti per via parenterale
18127	procedure clinico assistenziali	sostituzione cateteri	sostituzione cateteri	sostituzione catetere	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
18128	Educazione Sanitaria	educazione utente/caregiver	educazione utente caregiver	educazione utente caregiver	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
18130	procedure clinico assistenziali	catetere vescicale	catetere vescicale	catetere vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
18132	Monitoraggi e Misurazioni	misurazione parametri vitali	misurazione parametri vitali	misurazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
18134	procedure clinico assistenziali	cateterismi vescicali	cateterismi vescicali	cateterismo vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
18136	Educazione Sanitaria	addestramento care giver	addestramento care giver	addestramento caregiver caregiver	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
18137	procedure clinico assistenziali	cateterimo vescicale	cateterimo vescicale	cateterismo vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
18138	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapie endovenose	terapie endovenose	terapia endovenoso	016T	Somministrazione dei medicinali prescritti per via parenterale
18139	Educazione Sanitaria	EDUCAZIONE TERAPEUTICA	educazione terapeutica	educazione terapeutica	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
18140	Educazione Sanitaria	caunsling	caunsling	counselling	169R	Relazione di aiuto e sostegno psicologico.
18141	procedure clinico assistenziali	Esecuzione clisma evacuativo	esecuzione clisma evacuativo	esecuzione clisma evacuativo	080T	Preparazione ed effettuazione di clistere
